abeyance|suspension, dormancy|continuation, activity
abjure|renounce, repudiate, recant|affirm, uphold
abscond|flee, escape, decamp|remain, stay
abstain|refrain, forbear, desist|indulge, participate
abyss|chasm, gulf, void|
accretion|accumulation, buildup, growth|erosion, reduction
acerbic|caustic, biting, tart|mild, gentle
acumen|insight, discernment, shrewdness|obtuseness, ineptitude
adhere|stick, cling, comply|detach, depart
adulterate|contaminate, taint, dilute|purify, refine
aerie|eyrie, high nest|
aesthetic|artistic, beauty-related|
affable|friendly, approachable, amiable|aloof, unfriendly
affectation|pretense, artificiality, posturing|sincerity, naturalness
aggregate|total, sum, combine|separate, disaggregate
alienate|estrange, isolate, antagonize|reconcile, unite
alleviate|relieve, ease, mitigate|aggravate, worsen
ambivalent|conflicted, undecided, uncertain|decisive, certain
analgesia|pain relief, insensitivity to pain|pain, hyperalgesia
annul|invalidate, cancel, rescind|validate, enact
apathy|indifference, unconcern, listlessness|enthusiasm, concern
apocryphal|dubious, unverified, spurious|authentic, verified
arcane|obscure, esoteric, recondite|familiar, accessible
ardent|fervent, passionate, zealous|apathetic, indifferent
artifact|relic, human-made object|
ascetic|austere, self-denying, abstemious|self-indulgent, hedonistic
assiduous|diligent, industrious, persistent|negligent, lazy
assuage|soothe, relieve, alleviate|aggravate, intensify
attenuate|weaken, diminish, reduce|strengthen, intensify
attuned|responsive, harmonized, receptive|insensitive, out of harmony
audacious|bold, daring, brazen|timid, cautious
avarice|greed, cupidity, rapacity|generosity, contentment
avid|eager, enthusiastic, keen|apathetic, indifferent
axiom|self-evident truth, accepted principle|
balk|hesitate, refuse, recoil|comply, proceed
banal|trite, commonplace, hackneyed|original, fresh
base|foundation (noun), ignoble (adjective), establish (verb)|summit (noun), noble (adjective)
baying|howling, bellowing|whispering
bent|curved, inclination, dishonest|straight, honest
bevy|group, flock, cluster|
bilk|cheat, defraud, swindle|repay, reimburse
boor|lout, oaf, rude person|polite person
brandish|wave, flourish, wield|conceal, lower
brook|tolerate (verb), endure (verb), stream (noun)|reject (verb), forbid (verb)
buffer|cushion, shield, safeguard|expose, intensify
burnish|polish, shine, brighten|tarnish, dull
cacophony|discord, dissonance, din|harmony, euphony
canard|false report, fabrication, rumor|truth, fact
canonical|authoritative, accepted, orthodox|unorthodox, nonstandard
cartography|mapmaking, mapping|
cardinal|principal, fundamental, chief|minor, secondary
catholic|broad, inclusive, universal|narrow, limited
chauvinism|jingoism, excessive patriotism, group superiority|impartiality, tolerance
cloying|sickly sweet, overly sentimental|restrained, unsentimental
coffer|strongbox, chest, treasury|
complacent|self-satisfied, smug, uncritical|vigilant, concerned
complaisant|accommodating, obliging, agreeable|obstinate, uncooperative
condone|overlook, excuse, tolerate|condemn, disapprove
confer|bestow, grant, consult|withhold, revoke
connoisseur|expert, authority, discerning judge|novice, philistine
console|comfort (verb), soothe (verb), control panel (noun)|distress (verb), upset (verb)
construe|interpret, understand, explain|misinterpret, misconstrue
contentious|controversial, argumentative, quarrelsome|agreeable, uncontroversial
contextualize|put in context, situate|isolate, decontextualize
conversely|in contrast, on the other hand, oppositely|
corroborate|confirm, substantiate, verify|refute, contradict
cosset|pamper, indulge, coddle|neglect, mistreat
coterie|clique, circle, inner group|
countenance|expression (noun), tolerate (verb), approve (verb)|disapprove (verb), forbid (verb)
counterintuitive|unexpected, surprising|intuitive, expected
counterpoint|contrast, complementary contrast|
credibility|believability, plausibility, trustworthiness|implausibility, unreliability
crescendo|buildup, climax, increasing loudness|diminuendo, decrease
cupidity|greed, avarice, acquisitiveness|generosity, contentment
curmudgeon|grouch, grumbler, cantankerous person|
cynical|distrustful, skeptical, pessimistic|trusting, idealistic
daunt|intimidate, discourage, dismay|encourage, embolden
deface|mar, disfigure, vandalize|restore, preserve
deference|respect, regard, submission|disrespect, defiance
demur|object, hesitate, protest|agree, assent
desiccate|dry, dehydrate, wither|moisten, hydrate
dichotomy|division, split, contrast|unity, continuity
dilate|expand, widen, enlarge|contract, narrow
dilettante|dabbler, amateur, superficial enthusiast|expert, specialist
dirge|lament, elegy, requiem|paean, celebratory song
discriminating|discerning, selective, judicious|indiscriminate, undiscerning
disinterested|impartial, unbiased, detached|biased, self-interested
distill|purify, extract, condense|dilute, mix
diurnal|daytime, daily|nocturnal
divest|strip, deprive, sell off|acquire, invest
document|record (noun), record (verb), substantiate (verb)|suppress (verb)
effigy|likeness, model, representation|
egalitarian|equal-rights-minded, equality-based|elitist, hierarchical
egregious|outrageous, flagrant, shocking|minor, admirable
elevate|raise, lift, exalt|lower, demote
elicit|evoke, draw out, extract|suppress, stifle
emulate|imitate, rival, match|
entitlement|right, claim, benefit|
ephemeral|short-lived, fleeting, transient|lasting, permanent
epicure|gourmet, connoisseur, gastronome|
equivocate|hedge, prevaricate, evade|speak plainly, be direct
esoteric|obscure, specialized, abstruse|accessible, familiar
euphemism|mild substitute, indirect expression|dysphemism, blunt expression
euphony|melodiousness, harmony|cacophony, dissonance
expedient|practical, convenient, advantageous|impractical, inconvenient
expurgate|censor, purge, remove objectionable material|restore, include
extrapolate|infer, project, estimate|
facetious|flippant, joking, frivolous|serious, earnest
fallacious|flawed, misleading, unsound|valid, sound
fallow|uncultivated, inactive, dormant|cultivated, productive
fanatical|zealous, obsessive, extreme|moderate, indifferent
fastidious|exacting, meticulous, finicky|careless, undemanding
fathom|understand, comprehend, plumb|misunderstand
felicitous|apt, well-chosen, fortunate|inappropriate, unfortunate
flag|weaken (verb), mark (verb), banner (noun)|strengthen (verb)
fleeting|brief, transient, momentary|lasting, enduring
flout|defy, disregard, disobey|obey, respect
ford|shallow crossing, wade across|
forfeit|lose, surrender, penalty|retain, keep
fortuitous|accidental, chance, unexpected|planned, deliberate
fractious|irritable, unruly, quarrelsome|docile, agreeable
